pin,slack
genCounters[229].counter/count[5]:EN,995944
genCounters[229].counter/count[5]:Q,996136
genCounters[227].counter/count_cry[10]:B,997345
genCounters[227].counter/count_cry[10]:FCI,997147
genCounters[227].counter/count_cry[10]:FCO,997147
genCounters[227].counter/count_cry[10]:S,997242
genCounters[220].counter/count_cry[10]:B,997345
genCounters[220].counter/count_cry[10]:FCI,997147
genCounters[220].counter/count_cry[10]:FCO,997147
genCounters[220].counter/count_cry[10]:S,997242
genCounters[342].counter/count[13]:ALn,
genCounters[342].counter/count[13]:CLK,996280
genCounters[342].counter/count[13]:D,997185
genCounters[342].counter/count[13]:EN,995944
genCounters[342].counter/count[13]:Q,996280
genCounters[258].counter/count_cry[7]:B,997288
genCounters[258].counter/count_cry[7]:FCI,997147
genCounters[258].counter/count_cry[7]:FCO,997147
genCounters[258].counter/count_cry[7]:S,997299
genCounters[154].counter/count[4]:ALn,
genCounters[154].counter/count[4]:CLK,996044
genCounters[154].counter/count[4]:D,997356
genCounters[154].counter/count[4]:EN,995944
genCounters[154].counter/count[4]:Q,996044
genCounters[159].counter/count[7]:ALn,
genCounters[159].counter/count[7]:CLK,996280
genCounters[159].counter/count[7]:D,997299
genCounters[159].counter/count[7]:EN,995944
genCounters[159].counter/count[7]:Q,996280
genCounters[40].counter/count_cry[7]:B,997288
genCounters[40].counter/count_cry[7]:FCI,997147
genCounters[40].counter/count_cry[7]:FCO,997147
genCounters[40].counter/count_cry[7]:S,997299
genCounters[167].counter/count_cry[11]:B,997364
genCounters[167].counter/count_cry[11]:FCI,997147
genCounters[167].counter/count_cry[11]:FCO,997147
genCounters[167].counter/count_cry[11]:S,997223
genCounters[227].counter/count[0]:ALn,
genCounters[227].counter/count[0]:CLK,995944
genCounters[227].counter/count[0]:D,997616
genCounters[227].counter/count[0]:EN,995944
genCounters[227].counter/count[0]:Q,995944
genCounters[220].counter/count[0]:ALn,
genCounters[220].counter/count[0]:CLK,995944
genCounters[220].counter/count[0]:D,997616
genCounters[220].counter/count[0]:EN,995944
genCounters[220].counter/count[0]:Q,995944
genCounters[217].counter/count[8]:ALn,
genCounters[217].counter/count[8]:CLK,996097
genCounters[217].counter/count[8]:D,997280
genCounters[217].counter/count[8]:EN,995944
genCounters[217].counter/count[8]:Q,996097
genCounters[210].counter/count[8]:ALn,
genCounters[210].counter/count[8]:CLK,996097
genCounters[210].counter/count[8]:D,997280
genCounters[210].counter/count[8]:EN,995944
genCounters[210].counter/count[8]:Q,996097
genCounters[329].counter/count[8]:ALn,
genCounters[329].counter/count[8]:CLK,996097
genCounters[329].counter/count[8]:D,997280
genCounters[329].counter/count[8]:EN,995944
genCounters[329].counter/count[8]:Q,996097
genCounters[357].counter/count[8]:ALn,
genCounters[357].counter/count[8]:CLK,996097
genCounters[357].counter/count[8]:D,997280
genCounters[357].counter/count[8]:EN,995944
genCounters[357].counter/count[8]:Q,996097
genCounters[128].counter/count_cry[7]:B,997288
genCounters[128].counter/count_cry[7]:FCI,997147
genCounters[128].counter/count_cry[7]:FCO,997147
genCounters[128].counter/count_cry[7]:S,997299
genCounters[41].counter/count_s_6171:B,997147
genCounters[41].counter/count_s_6171:FCO,997147
genCounters[306].counter/count[1]:ALn,
genCounters[306].counter/count[1]:CLK,996044
genCounters[306].counter/count[1]:D,997422
genCounters[306].counter/count[1]:EN,995944
genCounters[306].counter/count[1]:Q,996044
genCounters[207].counter/count_cry[11]:B,997364
genCounters[207].counter/count_cry[11]:FCI,997147
genCounters[207].counter/count_cry[11]:FCO,997147
genCounters[207].counter/count_cry[11]:S,997223
genCounters[200].counter/count_cry[11]:B,997364
genCounters[200].counter/count_cry[11]:FCI,997147
genCounters[200].counter/count_cry[11]:FCO,997147
genCounters[200].counter/count_cry[11]:S,997223
genCounters[12].counter/terminalCount_9:A,996280
genCounters[12].counter/terminalCount_9:B,996189
genCounters[12].counter/terminalCount_9:C,996136
genCounters[12].counter/terminalCount_9:D,996044
genCounters[12].counter/terminalCount_9:Y,996044
genCounters[65].counter/terminalCount_8:A,996188
genCounters[65].counter/terminalCount_8:B,996097
genCounters[65].counter/terminalCount_8:C,996044
genCounters[65].counter/terminalCount_8:D,995944
genCounters[65].counter/terminalCount_8:Y,995944
genCounters[335].counter/count_cry[7]:B,997288
genCounters[335].counter/count_cry[7]:FCI,997147
genCounters[335].counter/count_cry[7]:FCO,997147
genCounters[335].counter/count_cry[7]:S,997299
genCounters[28].counter/count_cry[5]:B,997250
genCounters[28].counter/count_cry[5]:FCI,997147
genCounters[28].counter/count_cry[5]:FCO,997147
genCounters[28].counter/count_cry[5]:S,997337
genCounters[38].counter/count_RNO[0]:A,997616
genCounters[38].counter/count_RNO[0]:Y,997616
genCounters[283].counter/count[3]:ALn,
genCounters[283].counter/count[3]:CLK,996188
genCounters[283].counter/count[3]:D,997375
genCounters[283].counter/count[3]:EN,995944
genCounters[283].counter/count[3]:Q,996188
genCounters[232].counter/count_cry[6]:B,997269
genCounters[232].counter/count_cry[6]:FCI,997147
genCounters[232].counter/count_cry[6]:FCO,997147
genCounters[232].counter/count_cry[6]:S,997318
genCounters[321].counter/count_cry[11]:B,997364
genCounters[321].counter/count_cry[11]:FCI,997147
genCounters[321].counter/count_cry[11]:FCO,997147
genCounters[321].counter/count_cry[11]:S,997223
genCounters[347].counter/count[12]:ALn,
genCounters[347].counter/count[12]:CLK,996188
genCounters[347].counter/count[12]:D,997204
genCounters[347].counter/count[12]:EN,995944
genCounters[347].counter/count[12]:Q,996188
genCounters[255].counter/terminalCount_8:A,996188
genCounters[255].counter/terminalCount_8:B,996097
genCounters[255].counter/terminalCount_8:C,996044
genCounters[255].counter/terminalCount_8:D,995944
genCounters[255].counter/terminalCount_8:Y,995944
genCounters[307].counter/count[15]:ALn,
genCounters[307].counter/count[15]:CLK,996424
genCounters[307].counter/count[15]:D,997147
genCounters[307].counter/count[15]:EN,995944
genCounters[307].counter/count[15]:Q,996424
genCounters[198].counter/count_RNO[0]:A,997616
genCounters[198].counter/count_RNO[0]:Y,997616
genCounters[378].counter/terminalCount_9:A,996280
genCounters[378].counter/terminalCount_9:B,996189
genCounters[378].counter/terminalCount_9:C,996136
genCounters[378].counter/terminalCount_9:D,996044
genCounters[378].counter/terminalCount_9:Y,996044
genCounters[135].counter/count[15]:ALn,
genCounters[135].counter/count[15]:CLK,996424
genCounters[135].counter/count[15]:D,997147
genCounters[135].counter/count[15]:EN,995944
genCounters[135].counter/count[15]:Q,996424
genCounters[107].counter/count[13]:ALn,
genCounters[107].counter/count[13]:CLK,996280
genCounters[107].counter/count[13]:D,997185
genCounters[107].counter/count[13]:EN,995944
genCounters[107].counter/count[13]:Q,996280
genCounters[32].counter/terminalCount_11:A,996424
genCounters[32].counter/terminalCount_11:B,996333
genCounters[32].counter/terminalCount_11:C,996280
genCounters[32].counter/terminalCount_11:D,996188
genCounters[32].counter/terminalCount_11:Y,996188
genCounters[9].counter/count[8]:ALn,
genCounters[9].counter/count[8]:CLK,996097
genCounters[9].counter/count[8]:D,997280
genCounters[9].counter/count[8]:EN,995944
genCounters[9].counter/count[8]:Q,996097
genCounters[74].counter/count_cry[3]:B,997212
genCounters[74].counter/count_cry[3]:FCI,997147
genCounters[74].counter/count_cry[3]:FCO,997147
genCounters[74].counter/count_cry[3]:S,997375
genCounters[61].counter/count[4]:ALn,
genCounters[61].counter/count[4]:CLK,996044
genCounters[61].counter/count[4]:D,997356
genCounters[61].counter/count[4]:EN,995944
genCounters[61].counter/count[4]:Q,996044
genCounters[227].counter/count_cry[1]:B,997174
genCounters[227].counter/count_cry[1]:FCI,997147
genCounters[227].counter/count_cry[1]:FCO,997147
genCounters[227].counter/count_cry[1]:S,997422
genCounters[220].counter/count_cry[1]:B,997174
genCounters[220].counter/count_cry[1]:FCI,997147
genCounters[220].counter/count_cry[1]:FCO,997147
genCounters[220].counter/count_cry[1]:S,997422
genCounters[343].counter/count[5]:ALn,
genCounters[343].counter/count[5]:CLK,996136
genCounters[343].counter/count[5]:D,997337
genCounters[343].counter/count[5]:EN,995944
genCounters[343].counter/count[5]:Q,996136
genCounters[263].counter/count_cry[4]:B,997231
genCounters[263].counter/count_cry[4]:FCI,997147
genCounters[263].counter/count_cry[4]:FCO,997147
genCounters[263].counter/count_cry[4]:S,997356
genCounters[170].counter/count[13]:ALn,
genCounters[170].counter/count[13]:CLK,996280
genCounters[170].counter/count[13]:D,997185
genCounters[170].counter/count[13]:EN,995944
genCounters[170].counter/count[13]:Q,996280
genCounters[221].counter/count_cry[14]:B,997403
genCounters[221].counter/count_cry[14]:FCI,997147
genCounters[221].counter/count_cry[14]:FCO,997147
genCounters[221].counter/count_cry[14]:S,997166
genCounters[7].counter/count_cry[1]:B,997174
genCounters[7].counter/count_cry[1]:FCI,997147
genCounters[7].counter/count_cry[1]:FCO,997147
genCounters[7].counter/count_cry[1]:S,997422
genCounters[100].counter/count[8]:ALn,
genCounters[100].counter/count[8]:CLK,996097
genCounters[100].counter/count[8]:D,997280
genCounters[100].counter/count[8]:EN,995944
genCounters[100].counter/count[8]:Q,996097
genCounters[315].counter/count[10]:ALn,
genCounters[315].counter/count[10]:CLK,996242
genCounters[315].counter/count[10]:D,997242
genCounters[315].counter/count[10]:EN,995944
genCounters[315].counter/count[10]:Q,996242
genCounters[102].counter/count[13]:ALn,
genCounters[102].counter/count[13]:CLK,996280
genCounters[102].counter/count[13]:D,997185
genCounters[102].counter/count[13]:EN,995944
genCounters[102].counter/count[13]:Q,996280
genCounters[31].counter/count[15]:ALn,
genCounters[31].counter/count[15]:CLK,996424
genCounters[31].counter/count[15]:D,997147
genCounters[31].counter/count[15]:EN,995944
genCounters[31].counter/count[15]:Q,996424
genCounters[199].counter/count[3]:ALn,
genCounters[199].counter/count[3]:CLK,996188
genCounters[199].counter/count[3]:D,997375
genCounters[199].counter/count[3]:EN,995944
genCounters[199].counter/count[3]:Q,996188
counter0/count[8]:ALn,
counter0/count[8]:CLK,996097
counter0/count[8]:D,997280
counter0/count[8]:Q,996097
genCounters[99].counter/count_cry[10]:B,997345
genCounters[99].counter/count_cry[10]:FCI,997147
genCounters[99].counter/count_cry[10]:FCO,997147
genCounters[99].counter/count_cry[10]:S,997242
genCounters[196].counter/count[1]:ALn,
genCounters[196].counter/count[1]:CLK,996044
genCounters[196].counter/count[1]:D,997422
genCounters[196].counter/count[1]:EN,995944
genCounters[196].counter/count[1]:Q,996044
genCounters[165].counter/count[4]:ALn,
genCounters[165].counter/count[4]:CLK,996044
genCounters[165].counter/count[4]:D,997356
genCounters[165].counter/count[4]:EN,995944
genCounters[165].counter/count[4]:Q,996044
genCounters[85].counter/count[9]:ALn,
genCounters[85].counter/count[9]:CLK,996189
genCounters[85].counter/count[9]:D,997261
genCounters[85].counter/count[9]:EN,995944
